map_id,template_no,question,ground_truth,c_or_d,relative_region
200,9,Does New York state fall in the range 8-10k?,Yes,c,N
109,20,Name the Southern-most state that belongs to a similar value range compared to all its neighbours.,South Carolina,d,Y
104,12,What is the highest value range in the region aroung the Great Lakes?,14.8 - 25.3,d,N
104,36,Name the N-most state in the range 6.8-10.5.,Maine,d,N
104,11,Which states in the west coast region belong to the second highest range?,"Washington, Oregon",d,N
104,30,Does Idaho have the same value as Wisconsin.,Yes,d,N
98,12,What is the second highest value range in the legend?,2.5M - 3M,c,N
98,16,What value range does state West Virginia fall in?,< 0.5M,c,N
98,42,Yes/No: North Carolina has a similar value as Michigan and also have a similar value as California.,No,c,N
65,23,How many states bordering Lake Michigan have a value higher than 50k?,0,c,N
65,13,Which state has the second highest value in the west coast region?,Washington,c,N
65,36,Name the northern most state in the range 50-60k.,New York,c,N
65,11,Which states in west coast region belong to range > 60k?,California,c,N
65,9,Does state Montana fall in range 0-10k?,Yes,c,N
56,16,What value range does state Wisconsin fall in?,1500-2000,d,N
56,31,Yes or no: a majority of states bodering Canada belong to range 1500-2000.,Yes,d,N
49,23,How many states bordering Lake Erie have a value higher than 500K?,1,c,N
49,35,How many states bordering Texas have a value similar to state South Carolina?,4,c,Y
49,11,Which states in the north-east region belong to range 500-600k?,New York,c,N
49,39,Yes or no: all states bordering Canada have values below 100K.,No,c,N
33,27,Which states bordering Nevada have a value higher than state Idaho?,"California, Oregon",d,Y
33,31,Yes or no: All the states bodering Mississippi belong to range 119-160.,Yes,d,N
30,11,Which states bordering the Great Lakes belong to the range 74400-93200?,Illinois,d,N
19,36,Which is the Northern most state with a value in the highest range?,New York,d,N
13,9,Does Maine fall in the lowest range?,No,c,N
9,35,How many states bordering Mexico have a value similar to Idaho?,1,c,N
9,20,Name the N-most state that belongs to a higher value range compared to all its neighbours.,New York,c,Y
7,35,How many states have a value similar to Texas?,4,d,N
7,18,Yes or no: the value of Georgia is higher than its neighbouring state South Carolina.,No,d,N
5,16,What value range does state Texas fall in?,20M - 30M,c,N
5,19,Yes or no: the value of the state Florida is similar to state Maine.,No,c,N
4,28,Which states in the west coast has the same value as Louisiana?,"California, Oregon",c,N
4,22,Yes or no: States bordering Canada have lower values on average than states bordering Mexico.,Yes,c,N
